Category,Question,Answer
HISTORY,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
ESPN's TOP 10 ALL-TIME ATHLETES,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
EVERYBODY TALKS ABOUT IT...,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
THE COMPANY LINE,"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger",McDonald's
EPITAPHS & TRIBUTES,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
3-LETTER WORDS,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
HISTORY,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
ESPN's TOP 10 ALL-TIME ATHLETES,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
EVERYBODY TALKS ABOUT IT...,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
THE COMPANY LINE,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
EPITAPHS & TRIBUTES,"""And away we go""",Jackie Gleason
3-LETTER WORDS,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
HISTORY,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
ESPN's TOP 10 ALL-TIME ATHLETES,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies",Jim Brown
EVERYBODY TALKS ABOUT IT...,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
THE COMPANY LINE,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
EPITAPHS & TRIBUTES,"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here""",Jesse James
3-LETTER WORDS,"A small demon, or a mischievous child (who might be a little demon!)",imp
HISTORY,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
ESPN's TOP 10 ALL-TIME ATHLETES,"No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats""",(Lou) Gehrig
EVERYBODY TALKS ABOUT IT...,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco
THE COMPANY LINE,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit
EPITAPHS & TRIBUTES,"1939 Oscar winner: ""...you are a credit to your craft, your race and to your family""",Hattie McDaniel (for her role in Gone with the Wind)
3-LETTER WORDS,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era
HISTORY,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name",the Congress Party
ESPN's TOP 10 ALL-TIME ATHLETES,No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain
THE COMPANY LINE,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2
EPITAPHS & TRIBUTES,"Revolutionary War hero: ""His spirit is in Vermont now""",Ethan Allen
3-LETTER WORDS,"A single layer of paper, or to perform one's craft diligently",ply
DR. SEUSS AT THE MULTIPLEX,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he ""Hatches the Egg""</a>",Horton
PRESIDENTIAL STATES OF BIRTH,California,Nixon
AIRLINE TRAVEL,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel
THAT OLD-TIME RELIGION,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses
MUSICAL TRAINS,"Steven Tyler of this band lent his steamin' vocals to ""Train Kept A-Rollin'"", first popularized by the Yardbirds",Aerosmith
"""X""s & ""O""s",Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
PRESIDENTIAL STATES OF BIRTH,1 of the 2 born in Vermont,Coolidge (or Chester Arthur)
AIRLINE TRAVEL,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class
THAT OLD-TIME RELIGION,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed
MUSICAL TRAINS,"During the 1954-1955 Sun sessions, Elvis climbed aboard this train ""sixteen coaches long""","the ""Mystery Train"""
"""X""s & ""O""s","The shorter glass seen <a href=""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"" target=""_blank"">here</a>, or a quaint cocktail made with sugar & bitters",an old-fashioned
DR. SEUSS AT THE MULTIPLEX,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>",Yertle
AIRLINE TRAVEL,"In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France
THAT OLD-TIME RELIGION,Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers
MUSICAL TRAINS,"This ""Modern Girl"" first hit the Billboard Top 10 with ""Morning Train (Nine To Five)""",(Sheena) Easton
"""X""s & ""O""s","This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001",organza
DR. SEUSS AT THE MULTIPLEX,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"">Somewhere between truth & fiction lies Marco's reality... on Halloween, you won't believe you saw it on this St.</a>",Mulberry Street
AIRLINE TRAVEL,In 2004 United launched this new service that features low fares & more seats per plane,Ted
THAT OLD-TIME RELIGION,With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland,(John) Knox
MUSICAL TRAINS,"This band's ""Train In Vain"" was a hidden track on its original 1979 ""London Calling"" album",The Clash
